,Open,High,Low,Close,Adj Close,Volume
2018-10-08 21:17:55.533943,102.31717318039752,102.89997254883095,98.63603820606657,100.76800537744876,100.76800537744876,393176
2018-10-09 21:17:55.533943,100.54506243089388,101.45583423491442,99.70285883721118,100.5793465360628,100.5793465360628,535200
2018-10-10 21:17:55.533943,100.50067670203074,102.75527332455107,100.40789527780568,101.58158430117837,101.58158430117837,650881
2018-10-11 21:17:55.533943,104.38531305174777,104.92626180530876,102.97325906460001,103.94976043495438,103.94976043495438,374541
2018-10-12 21:17:55.533943,103.18442027740224,105.03542012252346,102.17661424487169,103.60601718369757,102.5699570118606,521861
2018-10-15 21:17:55.533943,104.3782230259581,106.45451896923076,100.07235315112466,103.26343606017771,102.23080169957593,248229
2018-10-16 21:17:55.533943,105.77009924842991,106.56805114765895,104.95177346795539,105.75991230780717,104.70231318472909,255773
2018-10-17 21:17:55.533943,106.79928737145273,107.27346345561944,106.73814281017543,107.00580313289743,105.93574510156846,670974
2018-10-18 21:17:55.533943,106.44556698281683,108.3384364054494,104.21387569292368,106.27615604918654,105.21339448869468,440915
2018-10-19 21:17:55.533943,107.8592123510119,107.8592123510119,106.53478844105113,107.16603414228965,106.09437380086675,599345
2018-10-22 21:17:55.533943,107.42134390959552,110.40604420200128,102.48388501698538,106.44496460949333,105.3805149633984,529001
2018-10-23 21:17:55.533943,105.69132840145909,106.89869011178325,104.55147010153439,105.72508010665882,104.66782930559224,327688
2018-10-24 21:17:55.533943,106.48646726007132,106.79236097638591,105.46908607860455,106.13072352749523,105.06941629222028,507532
2018-10-25 21:17:55.533943,103.55902074247943,107.04347287849713,99.25407875391818,103.14877581620765,102.11728805804557,346821
2018-10-26 21:17:55.533943,100.87075827861345,103.74609574767054,97.3224321006875,100.53426392417902,99.52892128493723,1259680
2018-10-29 21:17:55.533943,98.93243444213086,101.1341268057517,98.28553780673893,99.70983230624532,98.71273398318286,274719
2018-10-30 21:17:55.533943,98.3329331219289,99.13990083433674,97.3122716740124,98.22608625417456,97.24382539163281,521344
2018-10-31 21:17:55.533943,98.88316517961556,99.04454200184557,98.37531502241615,98.70992851213086,97.72282922700956,311512
2018-11-01 21:17:55.533943,96.65778712873485,99.15533086250552,95.63277938115479,97.39405512183016,96.42011457061186,754269
2018-11-02 21:17:55.533943,95.97206633371562,96.214666627878,94.52849090148776,95.37157876468288,94.41786297703605,512543
2018-11-05 21:17:55.533943,97.45396980606525,98.75511017036307,96.26692043570934,97.5110153030362,96.53590515000585,471367
2018-11-06 21:17:55.533943,95.65726455939812,100.6780587159633,93.72349515193395,97.20077693394863,96.22876916460915,790430
2018-11-07 21:17:55.533943,97.72524231897788,98.13366878585055,96.5038222695423,97.31874552769642,96.34555807241945,513566
2018-11-08 21:17:55.533943,95.0396451883988,96.95651266149099,93.6035787715324,95.2800457165117,94.32724525934658,784435
2018-11-09 21:17:55.533943,95.27817337266869,96.50979646606724,92.53837244501595,94.5240844555416,93.57884361098618,330494
2018-11-12 21:17:55.533943,94.32569143856156,97.26922760516689,92.1316251977014,94.70042640143414,93.7534221374198,252312
2018-11-13 21:17:55.533943,93.06428835648902,94.22786353013431,91.9683035623182,93.09808354622626,92.167102710764,617556
2018-11-14 21:17:55.533943,93.90368164514703,94.69950612039474,92.58637958845515,93.64294285442494,92.7065134258807,451195
2018-11-15 21:17:55.533943,92.97147786980068,93.8519887510455,91.79123311276146,92.82161093190348,91.89339482258444,744158
